date,iso,location,new_cases,new_deaths,new_recovered,new_active_cases,total_cases,total_deaths,total_recovered,total_active_cases,location_level,province,island,total_regencies,total_cities,total_districts,total_urban_villages,total_rural_villages,area_kmsquare,population,population_density,longitude,latitude
3/1/2020,ID-JK,DKI Jakarta,2,0,0,2,39,20,41,-22,Province,DKI Jakarta,Jawa,1,5,44,267,,664,10846145,16334.31,106.8361183,-6.204698991
3/2/2020,ID-JK,DKI Jakarta,2,0,0,2,41,20,41,-20,Province,DKI Jakarta,Jawa,1,5,44,267,,664,10846145,16334.31,106.8361183,-6.204698991
3/2/2020,ID-RI,Riau,1,0,0,1,2,0,3,-1,Province,Riau,Sumatera,10,2,169,268,1591,87024,6074100,69.8,101.8051092,0.511647851
3/3/2020,ID-JK,DKI Jakarta,2,0,0,2,43,20,41,-18,Province,DKI Jakarta,Jawa,1,5,44,267,,664,10846145,16334.31,106.8361183,-6.204698991
3/3/2020,ID-JB,Jawa Barat,1,1,0,0,1,1,8,-8,Province,Jawa Barat,Jawa,18,9,627,645,5312,35378,45161325,1276.55,107.6037083,-6.920432083
3/3/2020,ID-RI,Riau,0,0,0,0,2,0,3,-1,Province,Riau,Sumatera,10,2,169,268,1591,87024,6074100,69.8,101.8051092,0.511647851
3/4/2020,ID-JK,DKI Jakarta,2,0,0,2,45,20,41,-16,Province,DKI Jakarta,Jawa,1,5,44,267,,664,10846145,16334.31,106.8361183,-6.204698991
3/4/2020,ID-JB,Jawa Barat,1,0,0,1,2,1,8,-7,Province,Jawa Barat,Jawa,18,9,627,645,5312,35378,45161325,1276.55,107.6037083,-6.920432083
3/4/2020,ID-RI,Riau,0,0,0,0,2,0,3,-1,Province,Riau,Sumatera,10,2,169,268,1591,87024,6074100,69.8,101.8051092,0.511647851
3/5/2020,ID-JK,DKI Jakarta,0,1,0,-1,45,21,41,-17,Province,DKI Jakarta,Jawa,1,5,44,267,,664,10846145,16334.31,106.8361183,-6.204698991
3/5/2020,ID-JB,Jawa Barat,1,0,0,1,3,1,8,-6,Province,Jawa Barat,Jawa,18,9,627,645,5312,35378,45161325,1276.55,107.6037083,-6.920432083
3/5/2020,ID-RI,Riau,0,0,0,0,2,0,3,-1,Province,Riau,Sumatera,10,2,169,268,1591,87024,6074100,69.8,101.8051092,0.511647851
3/6/2020,ID-BT,Banten,1,0,1,0,1,5,74,-78,Province,Banten,Jawa,4,4,155,313,1238,9663,10722374,1109.64,106.1090043,-6.456736388
